Cluster,Avg_Similarity,Std_Similarity,Avg_Sim_Z,Std_Sim_Z,Cluster_frac,Avg_SimCluster_Frac,Avg_Frac_Overlap
"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.7087536668788728,0.01367705211212315,0.9963000000000024,0.001244065598899869,0.1997503770346872,0.18776704435141467,0.8295562790784796
"Risk Averse, Routine Seeker, Solo Creator, Externally Motivated, Hate Distractions",0.684575819947094,0.016375277741893318,0.9933666666666652,0.0026588690709117555,0.19185307905470161,0.21549941680221543,0.8127575046976442
"Solo Creator, Internally Motivated, Monotasker, Hate Distractions, Stifled By Constraints",0.6753801026263352,0.03272613352970501,0.9909333333333328,0.006964395582973266,0.1609250908226414,0.16004221742029962,0.806241045321722
"Noise/Music, Stifled By Constraints, Novelty Seeker, Risk Friendly, Internally Motivated",0.6936139069952124,0.024843336142612218,0.9939333333333333,0.003588859179912676,0.13575477515359985,0.1673152045677302,0.8190933058949819
"Silence, Multitasker, Risk Friendly, Let It Happen, Generalist",0.6582693258637097,0.02581795978241479,0.9883333333333337,0.0058698950407142444,0.11368988804112835,0.16825570280305238,0.7939232977379596
"Make It Happen, Reframer, Stimulated By Constraints, Rational, Externally Motivated",0.6710575260423762,0.019540869020847097,0.9908999999999992,0.0031375142247744327,0.09721180062851496,0.18480986993460274,0.803153111828131
"Novelty Seeker, Risk Friendly, Tenacious, Kinetic, Nature",0.6681079574936439,0.024631325381120815,0.9902333333333331,0.004476024169743243,0.08764292029152396,0.14409898138392055,0.8010368327688883
"Routine Seeker, Risk Friendly, Internally Motivated, Monotasker, Noise/Music",0.5013512677364796,0.016065317007451497,0.9304999999999991,0.006256309946079516,0.00423467530441372,0.14315870501548164,0.6678667124880703
"Tenacious, Novelty Seeker, Make It Happen, Outwardly Inspired, Public",0.48693433522835683,0.02942970291185875,0.9232666666666681,0.01341707707927814,0.0026819610261286896,0.09009780069214943,0.654950691085596
"Monotasker, Urban, Routine Seeker, Risk Friendly, Night Owl",0.4076166698647362,0.02443271092685084,0.8508333333333333,0.023827734738345138,0.0011069589830835864,0.09637175045441414,0.5791586283272787
"Risk Friendly, Silence, Routine Seeker, Hate Distractions, Monotasker",0.4131619174783287,0.01539424428077633,0.8563333333333332,0.016713738241809058,0.0008320765510426959,0.1533394349656561,0.5847340101204852
"Controlled Chaos, Stimulated By Constraints, Risk Averse, Multitasker, Love Distractions",0.41200575049419397,0.02322440394840591,0.8548333333333334,0.023562487068589724,0.0007057792174022867,0.09811594357002389,0.5835751736138387
"Noise/Music, Risk Averse, Let It Happen, Stifled By Constraints, Pragmastist",0.3527965412228393,0.03889784393108895,0.7969666666666667,0.03306998666400318,0.0005571941190018053,0.09173037068014211,0.5215810810751104
"Pragmastist, Night Owl, Routine Seeker, Stimulated By Constraints, Externally Motivated",0.2822201078166854,0.05513429151155521,0.6656333333333327,0.058790073373595333,0.00046804305996151646,0.06720607133232488,0.4402054001434103
"Tenacious, Collaborator, Multitasker, Fast Paced, Self-Assured",0.37388964201110364,0.03628466371027521,0.8184000000000003,0.032606486172482164,0.00042346753044137205,0.07163901096840612,0.544279002589761
"Make It Happen, Public, Risk Averse, Internally Motivated, Intuitive",0.3542406651487599,0.07025765226077249,0.791666666666667,0.05279080115767032,0.00042346753044137205,0.06918160801849926,0.5231576251771283
"Self-Assured, Fast Paced, Rational, Tenacious, Collaborator",0.3055051914324578,0.0567577068408859,0.7143999999999996,0.05485595871470605,0.0002525946672808184,0.07939639472689515,0.468026007766762
"Monotasker, Night Owl, Solo Creator, NonKinetic, Self-Critical",0.3047900525165037,0.09499012581180151,0.6899,0.1314790719179787,0.0002525946672808184,0.07346459831690298,0.4671863522084118
"Love Distractions, Specialist, Internally Motivated, Solo Creator, Inwardly Inspired",0.3090969104213427,0.10680745142653522,0.6933333333333332,0.12302308781151655,0.0002228776476007221,0.04242297968500004,0.47222922605761486
"Make It Happen, Routine Seeker, Monotasker, Night Owl, Urban",0.23870298006070675,0.08108271834924556,0.5690666666666666,0.09890883920876395,0.00020801913776067398,0.0809321300113512,0.3854079370165208
"Love Distractions, Externally Motivated, Monotasker, Risk Friendly, Solo Creator",0.2444500637001858,0.06849206717209542,0.5829666666666665,0.11120894177970615,0.0002005898828406499,0.04255758218641085,0.39286439983513705
"Specialist, Love Distractions, Slow Paced, Inwardly Inspired, Intuitive",0.2652298348609361,0.10573248823828582,0.6129333333333336,0.11617672980291388,0.00019316062792062584,0.03640281206704966,0.41925953301613067
"Tenacious, Risk Averse, Solo Creator, Love Distractions, Make It Happen",0.2211055556183756,0.06951591368766757,0.5094999999999998,0.12639202460312604,0.00016344360824052954,0.04508575515428279,0.3621399552250933
"Generalist, Internally Motivated, Solo Creator, Stimulated By Constraints, Multitasker",0.21306069139312833,0.08995346164007642,0.43233333333333357,0.2133104470047043,0.0001262973336404092,0.03188002189943053,0.35127787571525504
"Monotasker, Generalist, Night Owl, Hate Distractions, Urban",0.22353562412197853,0.10989294882367291,0.4383333333333334,0.2537664647481065,0.00011886807872038514,0.03864660794215092,0.3653929149507027
