,idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
1342,67,3,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7363161369007124,"Multitasker, Collaborator, Reframer, Novelty Seeker, Outwardly Inspired",0.21569441561137637,0.5112034685075547,0.13870868192401997,1.0
82,4,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7330254822892985,"Collaborator, Reframer, Outwardly Inspired, Stimulated By Constraints, Multitasker",0.17961903058486853,0.42524751155394475,0.21157682209773124,1.0
402,20,4,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7312065335419492,"Outwardly Inspired, Collaborator, Multitasker, Externally Motivated, Reframer",0.21378204652405625,0.47666758809642934,0.18795274939922882,1.0
1242,62,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7285839390485052,"Collaborator, Stimulated By Constraints, Multitasker, Reframer, Risk Friendly",0.16520296787761207,0.5716850666300782,0.08975733436870716,1.0
1002,50,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.721426624437278,"Collaborator, Multitasker, Reframer, Stimulated By Constraints, Generalist",0.1278822251001057,0.5233147025970436,0.118170706462581,1.0
1962,98,8,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7210702194883789,"Stimulated By Constraints, Collaborator, Risk Friendly, Multitasker, Reframer",0.0737275948466294,0.5337148326099528,0.12989078128873852,1.0
1722,86,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7195581398865086,"Collaborator, Multitasker, Risk Friendly, Generalist, Outwardly Inspired",0.13425575773753912,0.4818933378278749,0.18462545198700822,1.0
762,38,4,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7194698976350608,"Multitasker, Collaborator, Outwardly Inspired, Reframer, Risk Friendly",0.25926364740380914,0.4107334842987853,0.18881959078614458,1.0
1822,91,9,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.718890232475614,"Stimulated By Constraints, Multitasker, Reframer, Outwardly Inspired, Collaborator",0.15639775304213788,0.45139462110981277,0.18640723746312776,1.0
1222,61,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7185272194071378,"Collaborator, Outwardly Inspired, Multitasker, Reframer, Stimulated By Constraints",0.2212668471631311,0.44359015764587484,0.18801320622367204,1.0
1042,52,1,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7181710950098379,"Collaborator, Outwardly Inspired, Novelty Seeker, Reframer, Multitasker",0.20424478351007502,0.4690652613439079,0.1688747896778263,1.0
642,32,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7166666751062399,"Collaborator, Outwardly Inspired, Multitasker, Novelty Seeker, Reframer",0.2748507540456447,0.4342542882995214,0.18567322708719675,1.0
622,31,0,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7161907408807838,"Collaborator, Multitasker, Risk Friendly, Novelty Seeker, Let It Happen",0.2791783102443665,0.41861640534655836,0.2140114306578073,1.0
1622,81,2,"Collaborator, Multitasker, Reframer, Outwardly Inspired, Risk Friendly",0.23557424425904325,0.7153245468916377,"Multitasker, Collaborator, Novelty Seeker, Reframer, Risk Friendly",0.23654525484608305,0.49680899326932304,0.1851069109919191,1.0
