Cluster_ID,Creative_Style,cluster_size,Gender,Percent,Difference (%),Percent Difference,zScore
Cluster_1,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",1433,Male,55.269999999999996,-4.53,-7.569999999999993,-4.107742869801975
Cluster_2,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",1383,Male,60.23,0.45999999999999996,0.7700000000000102,0.4115855948221104
Cluster_3,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",1310,Male,63.129999999999995,3.29,5.489999999999995,2.7405980353597097
Cluster_4,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",944,Male,63.88,4.07,6.810000000000002,2.7790414945433146
Cluster_5,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",689,Male,61.1,1.31,2.1899999999999977,0.7548514622122381
Cluster_6,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",647,Male,54.71,-5.13,-8.569999999999993,-2.80752803486554
Cluster_7,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",294,Male,60.199999999999996,0.4,0.6599999999999966,0.1444929874676167
Cluster_1,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",1433,Female,43.89,4.19,10.549999999999997,3.6947688270021755
Cluster_2,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",1383,Female,39.26,-0.41000000000000003,-1.0300000000000011,-0.3407254703309467
Cluster_3,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",1310,Female,36.559999999999995,-3.06,-7.719999999999999,-2.549171017535592
Cluster_4,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",944,Female,35.699999999999996,-3.9699999999999998,-10.019999999999996,-2.7127459648716497
Cluster_5,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",689,Female,38.61,-1.0999999999999999,-2.769999999999996,-0.6349710316685396
Cluster_6,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",647,Female,44.82,5.1499999999999995,12.989999999999995,2.7676332355649986
Cluster_7,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",294,Female,38.78,-0.8699999999999999,-2.180000000000007,-0.30755968529081273
Cluster_1,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",1433,Non-Binary/Non-Conforming,0.84,0.3,57.27000000000001,1.8091035596553464
Cluster_2,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",1383,Non-Binary/Non-Conforming,0.51,-0.01,-2.519999999999996,-0.07725082613770351
Cluster_3,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",1310,Non-Binary/Non-Conforming,0.31,-0.21,-41.080000000000005,-1.2518636215081556
Cluster_4,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",944,Non-Binary/Non-Conforming,0.42,-0.1,-18.650000000000006,-0.43282655948475823
Cluster_5,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",689,Non-Binary/Non-Conforming,0.29,-0.22,-43.33,-0.8565664567297234
Cluster_6,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",647,Non-Binary/Non-Conforming,0.45999999999999996,-0.06999999999999999,-13.689999999999998,-0.2672388078591442
Cluster_7,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",294,Non-Binary/Non-Conforming,1.02,0.52,102.97999999999999,1.261791182426111
