idx_1,idx_2,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,percentile_max_sim
0,0,"Collaborator, Early Bird, Let It Happen, Novelty Seeker, Inwardly Inspired",0.0004308967853613961,1.0,"Collaborator, Early Bird, Let It Happen, Novelty Seeker, Inwardly Inspired",0.0004308967853613961,0.20914507857624945,0.12723791887256133,0.9814814814814815
0,0,"Collaborator, Generalist, Silence, Routine Seeker, Multitasker",0.0002525946672808184,1.0,"Collaborator, Generalist, Silence, Routine Seeker, Multitasker",0.0002525946672808184,0.20775751121433744,0.12860401293654813,0.9814814814814815
0,0,"Early Bird, Outwardly Inspired, Solo Creator, Noise/Music, Routine Seeker",0.0003566042361611554,1.0,"Early Bird, Outwardly Inspired, Solo Creator, Noise/Music, Routine Seeker",0.0003566042361611554,0.20257854461952463,0.13990133615723727,0.9814814814814815
0,0,"Early Bird, Risk Averse, Love Distractions, Pragmastist, Tenacious",0.0006834914526422146,1.0,"Early Bird, Risk Averse, Love Distractions, Pragmastist, Tenacious",0.0006834914526422146,0.27064095277811806,0.1362808399646912,0.9814814814814815
0,0,"Early Bird, Stimulated By Constraints, Risk Averse, Solo Creator, Novelty Seeker",0.000631486668202046,1.0,"Early Bird, Stimulated By Constraints, Risk Averse, Solo Creator, Novelty Seeker",0.000631486668202046,0.2723986701967339,0.14044482252079535,0.9814814814814815
0,0,"Fast Paced, Rational, Kinetic, Silence, Private",0.00021544839268069805,1.0,"Fast Paced, Rational, Kinetic, Silence, Private",0.00021544839268069805,0.18445197152621962,0.1295164228573636,0.9814814814814815
0,0,"Generalist, Hate Distractions, Urban, Risk Averse, Multitasker",0.00020801913776067398,1.0,"Generalist, Hate Distractions, Urban, Risk Averse, Multitasker",0.00020801913776067398,0.20136749619598607,0.12807023414994,0.9814814814814815
0,0,"Generalist, Internally Motivated, Hate Distractions, Tenacious, Risk Averse",0.0002823116869609147,1.0,"Generalist, Internally Motivated, Hate Distractions, Tenacious, Risk Averse",0.0002823116869609147,0.2143115993034226,0.12443241693209335,0.9814814814814815
0,0,"Internally Motivated, Night Owl, Novelty Seeker, Monotasker, Stifled By Constraints",0.0002451654123607943,1.0,"Internally Motivated, Night Owl, Novelty Seeker, Monotasker, Stifled By Constraints",0.0002451654123607943,0.1954857247597577,0.12596512350328162,0.9814814814814815
0,0,"Internally Motivated, Novelty Seeker, Monotasker, Let It Happen, Perfectionist",0.0034471742828911687,1.0,"Internally Motivated, Novelty Seeker, Monotasker, Let It Happen, Perfectionist",0.0034471742828911687,0.3264795880435271,0.15778964238770785,0.9814814814814815
0,0,"Intuitive, Noise/Music, Inwardly Inspired, Urban, Night Owl",0.0008023595313625996,1.0,"Intuitive, Noise/Music, Inwardly Inspired, Urban, Night Owl",0.0008023595313625996,0.28782970218620996,0.13688287111700323,0.9814814814814815
0,0,"Inwardly Inspired, Kinetic, Multitasker, Night Owl, Novelty Seeker",0.00018573137300060177,1.0,"Inwardly Inspired, Kinetic, Multitasker, Night Owl, Novelty Seeker",0.00018573137300060177,0.2052577189694375,0.12047633246478452,0.9814814814814815
0,0,"Inwardly Inspired, Public, Stifled By Constraints, Risk Friendly, Novelty Seeker",0.0003417457263211073,1.0,"Inwardly Inspired, Public, Stifled By Constraints, Risk Friendly, Novelty Seeker",0.0003417457263211073,0.22907321188204044,0.1299891147657396,0.9814814814814815
0,0,"Kinetic, Self-Critical, Monotasker, Night Owl, Collaborator",0.00036403349108117945,1.0,"Kinetic, Self-Critical, Monotasker, Night Owl, Collaborator",0.00036403349108117945,0.22238019046644378,0.12243983347718435,0.9814814814814815
0,0,"Love Distractions, Inwardly Inspired, Monotasker, Collaborator, Stimulated By Constraints",0.00041603827552134795,1.0,"Love Distractions, Inwardly Inspired, Monotasker, Collaborator, Stimulated By Constraints",0.00041603827552134795,0.2575825026207281,0.12725195433997455,0.9814814814814815
0,0,"Love Distractions, Inwardly Inspired, Specialist, Early Bird, Rational",0.0005423356091617572,1.0,"Love Distractions, Inwardly Inspired, Specialist, Early Bird, Rational",0.0005423356091617572,0.263162139063273,0.13017794670653252,0.9814814814814815
0,0,"Love Distractions, Organized, Risk Averse, Monotasker, Generalist",0.0002823116869609147,1.0,"Love Distractions, Organized, Risk Averse, Monotasker, Generalist",0.0002823116869609147,0.2365329413205412,0.12518651852764143,0.9814814814814815
0,0,"Make It Happen, Rational, Collaborator, Monotasker, Outwardly Inspired",0.0004606138050414924,1.0,"Make It Happen, Rational, Collaborator, Monotasker, Outwardly Inspired",0.0004606138050414924,0.26586699578216055,0.1291805930755998,0.9814814814814815
0,0,"Monotasker, Generalist, Night Owl, Hate Distractions, Urban",0.00011886807872038514,1.0,"Monotasker, Generalist, Night Owl, Hate Distractions, Urban",0.00011886807872038514,0.16145218328679545,0.1294310129969346,0.9814814814814815
0,0,"Monotasker, Intuitive, Solo Creator, Noise/Music, Risk Friendly",0.0003343164714010832,1.0,"Monotasker, Intuitive, Solo Creator, Noise/Music, Risk Friendly",0.0003343164714010832,0.21016540457238977,0.12651887153462216,0.9814814814814815
0,0,"Monotasker, Novelty Seeker, Silence, Solo Creator, Hate Distractions",0.06980527922854617,1.0,"Monotasker, Novelty Seeker, Silence, Solo Creator, Hate Distractions",0.06980527922854617,0.35838815886919695,0.1856069566094777,0.9814814814814815
0,0,"Multitasker, Silence, Collaborator, Novelty Seeker, Generalist",0.0269756246146074,1.0,"Multitasker, Silence, Collaborator, Novelty Seeker, Generalist",0.0269756246146074,0.35971990591935354,0.18001648477655302,0.9814814814814815
0,0,"Night Owl, Internally Motivated, Generalist, Inwardly Inspired, Collaborator",0.002065332867766692,1.0,"Night Owl, Internally Motivated, Generalist, Inwardly Inspired, Collaborator",0.002065332867766692,0.3372976624061373,0.13739577440725181,0.9814814814814815
0,0,"Night Owl, Reframer, Risk Averse, Internally Motivated, Perfectionist",0.0004531845501214683,1.0,"Night Owl, Reframer, Risk Averse, Internally Motivated, Perfectionist",0.0004531845501214683,0.255242271796567,0.12355809058348849,0.9814814814814815
0,0,"Night Owl, Risk Friendly, Novelty Seeker, Pragmastist, Internally Motivated",8.915105904028885e-05,1.0,"Night Owl, Risk Friendly, Novelty Seeker, Pragmastist, Internally Motivated",8.915105904028885e-05,0.13570000838229163,0.1312148853302143,0.9814814814814815
0,0,"Noise/Music, Solo Creator, Night Owl, Stifled By Constraints, Pragmastist",0.02918211332585455,1.0,"Noise/Music, Solo Creator, Night Owl, Stifled By Constraints, Pragmastist",0.02918211332585455,0.36795228590703183,0.18173335963420717,0.9814814814814815
0,0,"Noise/Music, Stifled By Constraints, Outwardly Inspired, Tenacious, Night Owl",0.0006686329428021664,1.0,"Noise/Music, Stifled By Constraints, Outwardly Inspired, Tenacious, Night Owl",0.0006686329428021664,0.27743633319706273,0.12636529342607872,0.9814814814814815
0,0,"NonKinetic, Outwardly Inspired, Risk Friendly, Organized, Public",0.0005126185894816609,1.0,"NonKinetic, Outwardly Inspired, Risk Friendly, Organized, Public",0.0005126185894816609,0.24851700074869199,0.1272137489698807,0.9814814814814815
0,0,"NonKinetic, Perfectionist, Collaborator, Externally Motivated, Generalist",0.0002823116869609147,1.0,"NonKinetic, Perfectionist, Collaborator, Externally Motivated, Generalist",0.0002823116869609147,0.23085229469230714,0.12223514676940025,0.9814814814814815
0,0,"NonKinetic, Risk Friendly, Hate Distractions, Urban, Perfectionist",0.00026745317712086655,1.0,"NonKinetic, Risk Friendly, Hate Distractions, Urban, Perfectionist",0.00026745317712086655,0.19141032228879856,0.12464563790079078,0.9814814814814815
0,0,"NonKinetic, Urban, Love Distractions, Night Owl, Controlled Chaos",0.0002823116869609147,1.0,"NonKinetic, Urban, Love Distractions, Night Owl, Controlled Chaos",0.0002823116869609147,0.21821258097583893,0.12397090393628228,0.9814814814814815
0,0,"NonKinetic, Urban, Pragmastist, Inwardly Inspired, Stimulated By Constraints",0.00026745317712086655,1.0,"NonKinetic, Urban, Pragmastist, Inwardly Inspired, Stimulated By Constraints",0.00026745317712086655,0.20534650560053225,0.1306943034898332,0.9814814814814815
0,0,"Novelty Seeker, Risk Friendly, Love Distractions, Multitasker, Collaborator",0.13942482708409173,1.0,"Novelty Seeker, Risk Friendly, Love Distractions, Multitasker, Collaborator",0.13942482708409173,0.33313164126994543,0.17974419185348223,0.9814814814814815
0,0,"Organized, Tenacious, Silence, Stifled By Constraints, Novelty Seeker",0.0002228776476007221,1.0,"Organized, Tenacious, Silence, Stifled By Constraints, Novelty Seeker",0.0002228776476007221,0.2129643827429991,0.13056265504383935,0.9814814814814815
0,0,"Pragmastist, Routine Seeker, Stimulated By Constraints, Externally Motivated, Multitasker",0.0002228776476007221,1.0,"Pragmastist, Routine Seeker, Stimulated By Constraints, Externally Motivated, Multitasker",0.0002228776476007221,0.20773935079420744,0.12621087779504522,0.9814814814814815
0,0,"Public, Fast Paced, Make It Happen, NonKinetic, Novelty Seeker",0.0004011797656812998,1.0,"Public, Fast Paced, Make It Happen, NonKinetic, Novelty Seeker",0.0004011797656812998,0.22921802471679728,0.13116739711422104,0.9814814814814815
0,0,"Public, Tenacious, Let It Happen, Intuitive, Solo Creator",0.0009509446297630811,1.0,"Public, Tenacious, Let It Happen, Intuitive, Solo Creator",0.0009509446297630811,0.2944609263613045,0.13643163492635269,0.9814814814814815
0,0,"Risk Averse, Collaborator, Novelty Seeker, Externally Motivated, Public",0.01547513799841014,1.0,"Risk Averse, Collaborator, Novelty Seeker, Externally Motivated, Public",0.01547513799841014,0.3567872188634802,0.17640758045134453,0.9814814814814815
0,0,"Risk Averse, Hate Distractions, Externally Motivated, Routine Seeker, Make It Happen",0.21605759158414004,1.0,"Risk Averse, Hate Distractions, Externally Motivated, Routine Seeker, Make It Happen",0.21605759158414004,0.3539624018169808,0.17005669957847164,0.9814814814814815
