tags,count,percent,style,global_pct,normalized_frequency,relative_frequency,cluster_id,size
Routine Seeker,1314,64.1,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",29.61,0.3680503681570803,2.164809186085782,Cluster_1,0.2128101318384719
Risk Averse,1401,68.34,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",33.27,0.3451431945674638,2.054102795311091,Cluster_1,0.2128101318384719
Make It Happen,1159,56.54,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",29.37,0.31626120358514725,1.9250936329588013,Cluster_1,0.2128101318384719
Specialist,618,30.15,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",15.75,0.3137254901960784,1.9142857142857141,Cluster_1,0.2128101318384719
Rational,979,47.76,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",26.13,0.2927324401136825,1.8277841561423651,Cluster_1,0.2128101318384719
Slow Paced,947,46.2,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",26.2,0.27624309392265195,1.7633587786259544,Cluster_1,0.2128101318384719
Monotasker,1286,62.73,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",36.03,0.2703523693803159,1.7410491257285594,Cluster_1,0.2128101318384719
Urban,775,37.8,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",22.06,0.2629468760441029,1.71350861287398,Cluster_1,0.2128101318384719
Stimulated By Constraints,993,48.44,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",30.57,0.22617390203771673,1.584560026169447,Cluster_1,0.2128101318384719
Externally Motivated,1075,52.44,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",33.47,0.22081247817483413,1.5667762175082163,Cluster_1,0.2128101318384719
Hate Distractions,1419,69.22,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",47.74,0.18365253077975371,1.449937159614579,Cluster_1,0.2128101318384719
Solo Creator,1344,65.56,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",46.83,0.16665183735207761,1.399957292333974,Cluster_1,0.2128101318384719
Private,1231,60.05,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",45.33,0.13968494970582654,1.3247297595411427,Cluster_1,0.2128101318384719
